Дата;Дата с разбивкой по 30 минут;Прибыль на момент времени;Точка продаж
01.05.2022;2022-05-01 19:00:00.000;36 546,5;Точка продаж 16
01.05.2022;2022-05-01 19:30:00.000;20 535;Точка продаж 16
01.05.2022;2022-05-01 20:00:00.000;33 692,5;Точка продаж 16
01.05.2022;2022-05-01 20:30:00.000;11 905;Точка продаж 16
01.05.2022;2022-05-01 21:00:00.000;5 776;Точка продаж 16
01.05.2022;2022-05-01 21:30:00.000;15 786,5;Точка продаж 16
01.05.2022;2022-05-01 22:00:00.000;23 905;Точка продаж 16
01.05.2022;2022-05-01 22:30:00.000;8 300;Точка продаж 16
01.05.2022;2022-05-01 23:00:00.000;19 265;Точка продаж 16
01.05.2022;2022-05-01 23:30:00.000;7 815;Точка продаж 16
01.05.2022;2022-05-01 05:00:00.000;7 950;Точка продаж 18
01.05.2022;2022-05-01 07:00:00.000;18 900;Точка продаж 18
01.05.2022;2022-05-01 07:30:00.000;11 500;Точка продаж 18
01.05.2022;2022-05-01 11:00:00.000;5 145;Точка продаж 18
01.05.2022;2022-05-01 16:00:00.000;6 750;Точка продаж 18
01.05.2022;2022-05-01 17:30:00.000;4 450;Точка продаж 18
01.05.2022;2022-05-01 18:30:00.000;12 450;Точка продаж 18
01.05.2022;2022-05-01 23:00:00.000;7 700;Точка продаж 18
01.05.2022;2022-05-01 00:00:00.000;275;Точка продаж 19
01.05.2022;2022-05-01 00:30:00.000;275;Точка продаж 19
01.05.2022;2022-05-01 01:00:00.000;350;Точка продаж 19
01.05.2022;2022-05-01 01:30:00.000;400;Точка продаж 19
01.05.2022;2022-05-01 02:30:00.000;1 250;Точка продаж 19
01.05.2022;2022-05-01 03:00:00.000;1 575;Точка продаж 19
01.05.2022;2022-05-01 03:30:00.000;650;Точка продаж 19
01.05.2022;2022-05-01 04:00:00.000;1 649,5;Точка продаж 19
01.05.2022;2022-05-01 04:30:00.000;750;Точка продаж 19
01.05.2022;2022-05-01 05:00:00.000;3 624,5;Точка продаж 19
01.05.2022;2022-05-01 05:30:00.000;3 250;Точка продаж 19
01.05.2022;2022-05-01 06:00:00.000;2 800;Точка продаж 19
01.05.2022;2022-05-01 06:30:00.000;6 995;Точка продаж 19
01.05.2022;2022-05-01 07:00:00.000;7 025;Точка продаж 19
01.05.2022;2022-05-01 07:30:00.000;5 175;Точка продаж 19
01.05.2022;2022-05-01 08:00:00.000;4 600;Точка продаж 19
01.05.2022;2022-05-01 08:30:00.000;3 525;Точка продаж 19
01.05.2022;2022-05-01 09:00:00.000;3 025;Точка продаж 19
01.05.2022;2022-05-01 09:30:00.000;3 000;Точка продаж 19
01.05.2022;2022-05-01 10:00:00.000;5 675;Точка продаж 19
01.05.2022;2022-05-01 10:30:00.000;2 650;Точка продаж 19
01.05.2022;2022-05-01 11:00:00.000;6 075;Точка продаж 19
01.05.2022;2022-05-01 11:30:00.000;5 210;Точка продаж 19
01.05.2022;2022-05-01 12:00:00.000;6 182;Точка продаж 19
01.05.2022;2022-05-01 12:30:00.000;8 545;Точка продаж 19
01.05.2022;2022-05-01 13:00:00.000;14 030;Точка продаж 19
01.05.2022;2022-05-01 13:30:00.000;9 589,5;Точка продаж 19
01.05.2022;2022-05-01 14:00:00.000;15 870;Точка продаж 19
01.05.2022;2022-05-01 14:30:00.000;9 469,5;Точка продаж 19
